"","Date","TweetCount","TweetCountCovid","TweetCountNonCovid","TweetCountEnglish","TweetCountNoFarsi","IR_NewCases","IR_CumulativeCases","IR_NewDeaths","IR_CumulativeDeaths","GlobalNewCases","GlobalCumulativeCases","GlobalNewDeaths","GlobalCumulativeDeaths","IR_FractionOfNewCases","IR_FractionOfCumulativeCases","IR_FractionOfNewDeaths","IR_FractionOfCumulativeDeaths","US_NewCases","US_CumulativeCases","US_NewDeaths","US_CumulativeDeaths","IS_NewCases","IS_CumulativeCases","IS_NewDeaths","IS_CumulativeDeaths","btc_price","btc_pct_change","eth_price","eth_pct_change","OilPrice","IranEventCount","AllEventCount","IranPercentAllEvents","Protests","Repression","Precipitation","TemperatureF","Gold_Price","Silver_Price","Platinum_Price","Rice_price","Soybean_Price","Corn_Price","Sugar_Price","Barley_Price","Cotton_Price","vxx","voo","vti"
"1",2011-01-01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,757,0.0607661822985469,0,1,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2011-01-02,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,781,0.0550576184379001,0,1,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2011-01-03,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1462,0.0287277701778386,0,1,0,41,1414.8,30.7075,1768.5,14.185,1370.25,620.5,NA,1144,142.2,NA,116.22,65.6
"4",2011-01-04,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,1812,0.0579470198675497,0,1,0,44,1380.5,29.7594,1757.5,13.885,1361,608.5,31,1148,143.78,NA,116.12,65.47
"5",2011-01-05,27,NA,27,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,1909,0.0628601361969618,0,1,0.22,44,1378.25,29.2525,1728.5,13.825,1386,619.25,32.2,1147.6,145.2,NA,116.74,65.83
"6",2011-01-06,75,NA,75,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,1887,0.0561738208797032,0,1,0.1,43,1371.56,29.09,1731.5,13.655,1369.5,602,30.24,1144.199938,141.22,NA,116.54,65.68
"7",2011-01-07,77,NA,77,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,1776,0.0467342342342342,0,1,0,44,1369.54,28.665,1733.5,13.39,1357.75,595,31.53,1163.6,140.6,NA,116.306,65.53
"8",2011-01-08,87,NA,87,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,1325,0.0905660377358491,0,1,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2011-01-09,99,NA,99,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,1127,0.0736468500443656,0,1,0.24,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2011-01-10,84,NA,84,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,2092,0.0540152963671128,0,1,0.48,33,1375.71,29.095,1742,13.61,1373.25,607,31.74,1223,143.25,NA,116.2,65.58
"11",2011-01-11,88,NA,88,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,2518,0.0432883240667196,0,0,0,35,1381.58,29.5213,1770.5,13.365,1350.5,607,32.75,1272,147.25,NA,116.58,65.84
"12",2011-01-12,100,NA,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,2363,0.0410495133305121,0,1,0,33,1387.9,29.675,1801,13.485,1409,631,32.02,1302.199938,147.97,NA,117.62,66.43
"13",2011-01-13,83,NA,83,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,2373,0.043826380109566,0,1,0,31,1373.6,28.685,1802,13.64,1410,642.5,32.06,1289.199938,144.06,NA,117.46,66.33
"14",2011-01-14,75,NA,75,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,2232,0.0246415770609319,0,0,0,33,1361.85,28.47,1813,13.695,1406.5,648.75,30.89,1317.199938,141.44,NA,118.3,66.76
"15",2011-01-15,72,NA,72,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1410,0.0411347517730496,0,1,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2011-01-16,51,NA,51,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,976,0.0706967213114754,0,0,0.35,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2011-01-17,89,NA,89,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,1886,0.0466595970307529,0,0,0.01,33,1361.61,28.28,1803.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2011-01-18,87,NA,87,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,2392,0.0576923076923077,0,1,0,34,1368.34,28.8725,1826.5,14.51,1413.25,659.5,31.12,1345.6,145.44,NA,118.5,66.93
"19",2011-01-19,70,NA,70,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,2364,0.0346869712351946,0,1,0,34,1369.86,28.7925,1834.5,14.665,1411.5,641.25,31.18,1337.800063,148.94,NA,117.32,66.13
"20",2011-01-20,80,NA,80,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,2456,0.0309446254071661,0,0,0,35,1346.25,27.4963,1811,14.705,1414.25,654,31.31,1303.6,152.94,NA,117.176,65.93
"21",2011-01-21,60,NA,60,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,2176,0.0326286764705882,0,0,0,35,1342.68,27.5075,1826.5,14.865,1412.25,657.25,32.33,1298.4,156.94,NA,117.44,66.04
"22",2011-01-22,65,NA,65,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,1178,0.0560271646859083,0,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2011-01-23,72,NA,72,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,1028,0.0749027237354086,0,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2011-01-24,71,NA,71,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,2218,0.0324616771866546,1,1,0,38,1334.4,26.9475,1814.5,15.145,1404.5,655.25,32.31,1279.800063,161.94,NA,118.16,66.41
"25",2011-01-25,77,NA,77,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,2301,0.0225988700564972,0,1,0,39,1332.43,26.8425,1787,14.75,1374.5,644,31.84,1270.4,161.83,NA,118.12,66.45
"26",2011-01-26,83,NA,83,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,2287,0.0161783996501968,0,0,0,43,1346,27.6075,1813,15.195,1385.5,657.75,33.13,NA,166.83,NA,118.74,66.83
"27",2011-01-27,85,NA,85,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,1979,0.033855482566953,0,1,0.17,44,1313.53,26.9325,1785.5,15.085,1399.5,650.75,34.18,1270.199938,169.39,NA,118.9,67.03
"28",2011-01-28,89,NA,89,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,2267,0.0176444640494045,0,1,0,46,1336.78,27.98,1796.5,15.01,1398,644,33.94,1243.4,164.75,NA,116.804,65.83
"29",2011-01-29,93,NA,93,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1523,0.0380827314510834,0,1,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2011-01-30,93,NA,93,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1294,0.0556414219474498,0,1,0.35,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2011-01-31,95,1,94,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,2102,0.0228353948620362,0,1,0.2,47,1332.68,28.065,1794,15.51,1413,659.5,33.97,1232.4,168.44,NA,117.7,66.26
"32",2011-02-01,69,0,69,2,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,2050,0.0380487804878049,0,0,0.04,47,1341.4,28.535,1828.5,15.935,1438,666,33.96,1236.6,172.22,NA,119.54,67.35
"33",2011-02-02,87,0,87,0,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,2063,0.0203587009209889,0,1,0.03,42,1335.25,28.3525,1833.5,15.96,1444,669.25,35.31,1231,176.22,NA,119.34,67.27
"34",2011-02-03,89,0,89,0,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2169,0.0147533425541724,0,0,0.05,31,1354.35,28.935,1838.5,16.285,1435.5,662.5,32.04,1240.800063,171.86,NA,119.64,67.42
"35",2011-02-04,70,0,70,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1940,0.015979381443299,0,1,0.05,32,1348.93,29.1375,1843.5,15.8,1433.5,678.5,32.64,1236.4,167.86,NA,119.96,67.61
"36",2011-02-05,70,0,70,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1240,0.0516129032258065,0,1,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2011-02-06,79,0,79,0,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,0.0277777777777778,0,0,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2011-02-07,76,0,76,0,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1918,0.0265901981230448,0,0,0,44,1351.28,29.3938,1841,15.545,1424.5,674.75,32.68,1233.199938,174.51,NA,120.71825,68.06
"39",2011-02-08,82,0,82,0,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,2202,0.0358764759309718,0,0,0,44,1363.98,30.3212,1860,15.915,1434.25,673.75,31.16,1223.6,175.29,NA,121.28,68.4
"40",2011-02-09,71,0,71,0,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,2419,0.0231500620090947,0,1,0,41,1363.73,30.21,1858,16.295,1451,698,31.5,1225.6,180.58,NA,120.98,68.225
"41",2011-02-10,93,0,93,0,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,2128,0.0164473684210526,0,1,0,44,1363.8,30.205,1827.25,16.16,1433,698.5,32.05,1239,187.58,NA,121.02,68.3
"42",2011-02-11,63,0,63,0,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,2322,0.0327304048234281,0,1,0.12,40,1356.95,29.9175,1804,15.885,1416,706.5,31.3,1288.6,189.97,NA,121.78,68.75
"43",2011-02-12,69,0,69,0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1273,0.02827965435978,0,1,0.04,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2011-02-13,86,0,86,0,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,971,0.0556127703398558,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2011-02-14,78,0,78,0,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,2045,0.0713936430317848,9,1,0,42,1361.78,30.6175,1829.5,15.73,1402.75,695.75,30.91,1284.6,186.05,NA,122.08,68.93
