date,tweetcount,closelast,volume,open,high,low,sell,buy,iraneventcount,alleventcount,covidtrend,irantrend,new_cases,cumulative_cases,new_deaths,cumulative_deaths,globalnew_cases,globalcumulative_cases,global_new_deaths,global_cumulative_deaths,tweetscovidnofarsi,tweetsnofarsi,tweetsenglish,tweetscovid,iranprotest,iranmatconf,year,month,day,statadate,irneventpr,newcasepr,cumcasepr,newdeathpr,cumdeathpr
2020-01-03,449,68.599998,76623,66.290001,69.480003,66.220001,13350,13250,481,2239,0,31,0,0,0,0,0,0,0,0,0,386,175,0,0,0,2020,1,3,03jan2020,.21482804,0,0,0,0
2020-01-04,380,68.599998,76623,66.290001,69.480003,66.220001,13750,13650,324,1545,0,31,0,0,0,0,1,1,0,0,0,310,107,0,0,1,2020,1,4,04jan2020,.20970874,0,0,0,0
2020-01-05,232,68.599998,76623,66.290001,69.480003,66.220001,13950,13850,303,1473,0,100,0,0,0,0,0,1,0,0,0,201,72,0,0,0,2020,1,5,05jan2020,.20570265,0,0,0,0
2020-01-06,297,68.910004,51077,69.07,70.720001,68.190002,13950,13850,321,2360,0,100,0,0,0,0,3,4,0,0,0,231,101,0,0,0,2020,1,6,06jan2020,.13601695,0,0,0,0
2020-01-07,490,68.269997,40677,68.580002,68.739998,67.650002,14000,13900,440,2793,0,100,0,0,0,0,0,4,0,0,0,346,185,0,0,1,2020,1,7,07jan2020,.1575367,0,0,0,0
2020-01-08,542,65.440002,83539,68.470001,66.309998,65.68,14020,13920,1113,3415,0,100,0,0,0,0,0,4,0,0,0,409,228,0,0,1,2020,1,8,08jan2020,.32591507,0,0,0,0
2020-01-09,399,65.370003,49531,65.790001,66.089996,64.550003,13500,13400,624,2646,0,100,0,0,0,0,0,4,0,0,0,302,156,0,0,1,2020,1,9,09jan2020,.23582767,0,0,0,0
2020-01-10,264,64.980003,45308,65.410004,65.660004,64.860001,13500,13400,368,2641,0,100,0,0,0,0,0,4,0,0,0,205,97,0,0,0,2020,1,10,10jan2020,.13934116,0,0,0,0
2020-01-11,376,64.980003,45308,65.410004,65.660004,64.860001,13280,13180,287,1804,0,100,0,0,0,0,0,4,0,0,0,269,153,0,2,1,2020,1,11,11jan2020,.15909091,0,0,0,0
2020-01-12,517,64.980003,45308,65.410004,65.660004,64.860001,13470,13370,297,1557,0,15,0,0,0,0,41,45,1,1,0,403,271,0,4,1,2020,1,12,12jan2020,.19075145,0,0,0,0
2020-01-13,461,64.199997,34898,65.18,65.25,63.919998,13500,13400,282,2333,0,15,0,0,0,0,1,46,0,1,0,364,161,0,6,1,2020,1,13,13jan2020,.12087441,0,0,0,0
2020-01-14,479,64.489998,34006,64.220001,65.040001,63.91,13550,13450,270,2554,0,15,0,0,0,0,5,51,0,1,0,336,166,0,6,1,2020,1,14,14jan2020,.10571653,0,0,0,0
2020-01-15,458,64,33681,64.459999,64.610001,63.549999,13550,13450,181,2576,0,15,0,0,0,0,0,51,0,1,0,320,134,0,1,1,2020,1,15,15jan2020,.070263974,0,0,0,0
2020-01-16,455,64.620003,36606,64.309998,64.959999,63.919998,13570,13470,165,2682,0,15,0,0,0,0,0,51,0,1,0,302,136,0,0,0,2020,1,16,16jan2020,.061521254,0,0,0,0
2020-01-17,845,64.849998,34060,64.75,65.139999,64.489998,13570,13470,233,2296,0,15,0,0,0,0,1,52,1,2,0,470,109,0,1,0,2020,1,17,17jan2020,.10148083,0,0,0,0
2020-01-18,490,64.849998,34060,64.75,65.139999,64.489998,13500,13400,69,1341,0,15,0,0,0,0,4,56,0,2,0,403,180,0,0,1,2020,1,18,18jan2020,.051454138,0,0,0,0
2020-01-19,354,64.849998,34060,64.75,65.139999,64.489998,13500,13400,40,1329,0,6,0,0,0,0,81,137,1,3,0,271,131,0,0,1,2020,1,19,19jan2020,.030097818,0,0,0,0
2020-01-20,374,64.849998,34060,64.75,65.139999,64.489998,13550,13450,99,2038,0,6,0,0,0,0,82,219,1,4,0,334,174,0,0,1,2020,1,20,20jan2020,.048577037,0,0,0,0
2020-01-21,461,64.589996,49011,65.300003,66,64.059998,13470,13370,67,2284,0,6,0,0,0,0,93,312,2,6,0,398,215,0,0,0,2020,1,21,21jan2020,.0293345,0,0,0,0
2020-01-22,364,63.209999,34046,63.169998,63.470001,62.529999,13530,13430,96,2600,0,6,0,0,0,0,144,456,11,17,1,320,132,1,0,0,2020,1,22,22jan2020,.036923077,0,0,0,0
2020-01-23,875,62.040001,40984,62.630001,62.779999,61.25,13570,13470,79,2114,0,6,0,0,0,0,130,586,1,18,2,549,42,2,0,1,2020,1,23,23jan2020,.037369914,0,0,0,0
2020-01-24,1226,60.689999,32842,60.73,60.860001,60.619999,13570,13470,52,2195,0,6,0,0,0,0,311,897,8,26,1,1088,381,1,0,0,2020,1,24,24jan2020,.023690205,0,0,0,0
2020-01-25,503,60.689999,32842,60.73,60.860001,60.619999,13580,13480,43,1228,0,6,0,0,0,0,470,1367,16,42,8,426,229,8,0,0,2020,1,25,25jan2020,.035016287,0,0,0,0
2020-01-26,409,60.689999,32842,60.73,60.860001,60.619999,13620,13520,67,1126,0,5,0,0,0,0,694,2061,14,56,19,310,105,19,0,0,2020,1,26,26jan2020,.059502665,0,0,0,0
2020-01-27,510,59.32,37086,60.279999,60.490002,58.5,13680,13580,63,1888,0,5,0,0,0,0,799,2860,26,82,13,370,149,13,0,0,2020,1,27,27jan2020,.033368643,0,0,0,0
2020-01-28,487,59.509998,39174,58.950001,60.110001,58.5,13750,13650,49,2129,0,5,0,0,0,0,1773,4633,49,131,7,386,169,7,1,0,2020,1,28,28jan2020,.023015501,0,0,0,0
2020-01-29,505,59.810001,19776,59.669998,60.610001,59.25,13750,13650,29,2071,0,5,0,0,0,0,1493,6126,2,133,4,389,114,4,0,0,2020,1,29,29jan2020,.014002897,0,0,0,0
2020-01-30,496,58.290001,9426,59.610001,59.610001,57.73,13770,13670,49,2128,0,5,0,0,0,0,1754,7880,38,171,16,432,106,16,0,0,2020,1,30,30jan2020,.023026315,0,0,0,0
2020-01-31,378,58.16,573,59.07,59.529999,57.98,13770,13670,26,1713,0,5,0,0,0,0,2016,9896,42,213,6,301,86,6,0,0,2020,1,31,31jan2020,.01517805,0,0,0,0
2020-02-01,619,58.16,573,59.07,59.529999,57.98,13580,13480,6,1144,0,5,0,0,0,0,2112,12008,46,259,24,535,243,24,0,0,2020,2,1,01feb2020,.0052447552,0,0,0,0
2020-02-02,546,58.16,573,59.07,59.529999,57.98,13600,13500,70,1074,0,4,0,0,0,0,2609,14617,103,362,7,404,162,7,0,0,2020,2,2,02feb2020,.065176912,0,0,0,0
2020-02-03,559,54.450001,65537,55.849998,56.759998,54.07,13650,13550,72,1820,0,4,0,0,0,0,2839,17456,64,426,13,366,110,14,0,0,2020,2,3,03feb2020,.039560441,0,0,0,0
2020-02-04,484,53.959999,51878,54.150002,55.639999,53.689999,13600,13500,56,1871,0,4,0,0,0,0,3249,20705,66,492,13,386,180,13,0,0,2020,2,4,04feb2020,.029930519,0,0,0,0
